Název části obce;Název ulice;Číslo domovní;PSČ
Verdek;;52;54401
Verdek;;53;54401
Verdek;;54;54401
Verdek;;55;54401
Verdek;;57;54401
Verdek;;58;54401
Verdek;;59;54401
Verdek;;60;54401
Verdek;;61;54401
Verdek;;62;54401
Verdek;;64;54401
Verdek;;65;54401
Verdek;;66;54401
Verdek;;67;54401
Verdek;;69;54401
Verdek;;72;54401
Verdek;;73;54401
Verdek;;74;54401
Verdek;;75;54401
Verdek;;76;54401
Verdek;;77;54401
Verdek;;78;54401
Verdek;;79;54401
Verdek;;80;54401
Verdek;;81;54401
Verdek;;82;54401
Verdek;;83;54401
Verdek;;84;54401
Verdek;;85;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;2;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;3;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;6;54401
Dvůr Králové nad Labem;Josefa Hory;7;54401
Dvůr Králové nad Labem;Havlíčkova;8;54401
Dvůr Králové nad Labem;Havlíčkova;9;54401
Dvůr Králové nad Labem;Havlíčkova;10;54401
Dvůr Králové nad Labem;Havlíčkova;11;54401
Dvůr Králové nad Labem;Havlíčkova;12;54401
Dvůr Králové nad Labem;Havlíčkova;13;54401
Dvůr Králové nad Labem;Havlíčkova;14;54401
Dvůr Králové nad Labem;Havlíčkova;15;54401
Dvůr Králové nad Labem;Havlíčkova;17;54401
Dvůr Králové nad Labem;Havlíčkova;18;54401
Dvůr Králové nad Labem;Havlíčkova;19;54401
Dvůr Králové nad Labem;Havlíčkova;20;54401
Dvůr Králové nad Labem;Havlíčkova;21;54401
Dvůr Králové nad Labem;Havlíčkova;23;54401
Dvůr Králové nad Labem;Havlíčkova;24;54401
Dvůr Králové nad Labem;Havlíčkova;25;54401
Dvůr Králové nad Labem;Josefa Hory;26;54401
Dvůr Králové nad Labem;Komenského;27;54401
Dvůr Králové nad Labem;Komenského;28;54401
Dvůr Králové nad Labem;Komenského;30;54401
Dvůr Králové nad Labem;Komenského;31;54401
Dvůr Králové nad Labem;Josefa Hory;34;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;35;54401
